date,actual_sales,predicted_sales,error,absolute_error,percentage_error
2017-01-01,43971.374,29650.73158925645,14320.642410743552,14320.642410743552,32.568103081662976
2017-02-01,20301.1334,26174.63411365042,-5873.500713650421,5873.500713650421,28.931885712599776
2017-03-01,58872.3528,61309.47085425376,-2437.1180542537622,2437.1180542537622,4.13966478039886
2017-04-01,36521.5361,46712.671966334485,-10191.135866334487,10191.135866334487,27.904455711912096
2017-05-01,44261.1102,49957.3890705845,-5696.278870584494,5696.278870584494,12.869715298249554
2017-06-01,52981.7257,45587.9681748237,7393.757525176305,7393.757525176305,13.955297656860399
2017-07-01,45264.416,46283.08375401131,-1018.667754011316,1018.667754011316,2.250482484986255
2017-08-01,63120.888,44173.4757503821,18947.412249617897,18947.412249617897,30.01765794172271
2017-09-01,87866.652,85102.23177952298,2764.4202204770263,2764.4202204770263,3.146154038595924
2017-10-01,77776.9232,51736.80750399633,26040.115696003675,26040.115696003675,33.480516616789586
2017-11-01,118447.825,89016.55409234288,29431.27090765712,29431.27090765712,24.847455753330312
2017-12-01,83829.3188,90475.96286624459,-6646.644066244597,6646.644066244597,7.9287821509109015
