year,month,quarter,trend,month_sin,month_cos,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,date,target_sales
2015,1,1,12,0.49999999999999994,0.8660254037844387,69545.6205,78628.7167,31453.393,33946.393,14236.895,59875.91006666666,25030.08722414551,53876.82375000001,25341.43903186694,40353.958175,25167.096425544467,2015-01-01,18174.0756
2015,2,1,13,0.8660254037844386,0.5000000000000001,18174.0756,69545.6205,78628.7167,27909.4685,4519.892,55449.47093333334,32599.340209378934,51248.10418333334,28449.76561326955,40682.05655833333,24818.91614911219,2015-02-01,11951.411
2015,3,1,14,1.0,6.123233995736766e-17,11951.411,18174.0756,69545.6205,81777.3508,55691.009,33223.702366666665,31609.202636960807,48588.42793333333,31635.551932301303,41301.34980833333,23910.648343143028,2015-03-01,38726.252
2015,4,2,15,0.8660254037844387,-0.4999999999999998,38726.252,11951.411,18174.0756,31453.393,28295.345,22950.579533333334,14011.933129039757,41413.2448,27169.46493921405,39887.620058333334,23480.15680891126,2015-04-01,34195.2085
2015,5,2,16,0.49999999999999994,-0.8660254037844387,34195.2085,38726.252,11951.411,78628.7167,23648.287,28290.95716666667,14330.672192859503,41870.21405,26990.915509457576,40379.27535,23276.241126352583,2015-05-01,30131.6865
2015,6,2,17,1.2246467991473532e-16,-1.0,30131.6865,34195.2085,38726.252,69545.6205,34595.1276,34351.049,4299.40155481292,33787.37568333334,20184.94218864888,40919.55864166667,22925.17798947647,2015-06-01,24797.292
2015,7,3,18,-0.4999999999999997,-0.8660254037844388,24797.292,30131.6865,34195.2085,18174.0756,33946.393,29708.062333333335,4713.258078143088,26329.320933333336,10055.7794738764,40103.072341666666,23341.595527508962,2015-07-01,28765.325
2015,8,3,19,-0.8660254037844385,-0.5000000000000004,28765.325,24797.292,30131.6865,11951.411,27909.4685,27898.101166666664,2770.9202538567542,28094.52916666667,9233.892276390974,39671.316675,23513.11772813223,2015-08-01,36898.3322
2015,9,3,20,-1.0,-1.8369701987210297e-16,36898.3322,28765.325,24797.292,38726.252,81777.3508,30153.649733333335,6168.82303639785,32252.349366666665,5282.153039690575,40420.38865,23246.013974617326,2015-09-01,64595.918
2015,10,4,21,-0.8660254037844386,0.5000000000000001,64595.918,36898.3322,28765.325,34195.2085,31453.393,43419.8584,18784.450395629814,36563.960366666666,14367.747101163073,38988.60258333333,20875.402201409877,2015-10-01,31404.9235
2015,11,4,22,-0.5000000000000004,0.8660254037844384,31404.9235,64595.918,36898.3322,30131.6865,78628.7167,44299.724566666664,17790.334052478363,36098.912866666666,14504.260372298553,38984.56345833334,20876.99733934407,2015-11-01,75972.5635
